title,main_story
Aero Fighters 3,0.6166666666666667
Aero Fighters Assault,4.0
Aero Porter,4.0
Aero the Acro-Bat,5.0
Aero the Acro-Bat 2,4.5
Aerobiz Supersonic,4.0
Aerostar,1.5
AeternoBlade,11.0
Aether,0.7833333333333333
Affordable Space Adventures,5.5
Afraid of Monsters,2.0
Afrika,24.0
Afro Samurai,7.0
After Burner,0.7833333333333333
After Burner Climax,0.25
After Burner II,0.5833333333333334
After Burner III,0.08333333333333333
After Death,5.0
After Dreams,0.3333333333333333
Afterfall Reconquest: Episode 1,2.0
Afterfall: InSanity,6.5
Again: Interactive Crime Novel,10.5
Agarest Senki Mariage,27.5
Agatha Christie: And Then There Were None,7.0
Agatha Christie: Evil Under the Sun,9.0
Agatha Christie: Murder on the Orient Express,8.0
Agatha Christie: The ABC Murders (2009),5.0
Agatha Christie: The ABC Murders (2016),6.5
Age of Barbarian: Extended Cut,6.0
Age of Castles: Warlords,2.0
Age of Empires,20.0
Age of Empires II: HD Edition,26.5
Age of Empires II: HD Edition - The African Kingdoms DLC,12.0
Age of Empires II: The Age of Kings,41.5
Age of Empires II: The Conquerors,48.0
Age of Empires III,15.0
Age of Empires III: Complete Collection,18.5
Age of Empires III: The Asian Dynasties,9.0
Age of Empires III: The WarChiefs,8.0
Age of Empires: The Age of Kings,15.5
Age of Empires: The Rise of Rome,21.5
Age of Enigma: The Secret of the Sixth Ghost,2.0
Age of Fear: The Undead King,15.0
Age of Gladiators,26.0
Age of Gladiators II: Death League,6.0
Age of Mythology,15.0
Age of Mythology: Extended Edition,29.0
Age of Mythology: The Titans,9.5
Age of Pirates: Caribbean Tales,8.0
Age of Rivals,13.5
Age of Steel: Recharge,3.5
Age of Wonders,21.0
Age of Wonders II: The Wizard's Throne,51.5
Age of Wonders III,21.5
Age of Wonders: Shadow Magic,32.0
Age of Zombies,2.0
Agent A: A Puzzle in Disguise,1.0
Agent Awesome,2.5
Agent Hugo,1.5
Agent Hugo: Roborumble,2.0
Agent Walker: Secret Journey,2.5
Agents of Mayhem,17.0
Aggelos,7.0
Aggressive Inline,2.5
Aggressors of Dark Kombat,0.25
Agony (1992),1.5
Agony (2018),7.5
AiRace: Tunnel,3.0
Aimtastic,1.5
Air Aces: Pacific,12.0
Air Buster / Aero Blasters,1.0
Air Combat,3.0
Air Conflicts: Pacific Carriers,10.0
Air Conflicts: Secret Wars,7.5
Air Conflicts: Vietnam,5.0
Air Forte,0.4
Air Gallet,0.35
Air Guardians,0.6333333333333333
Air Hockey,0.4
Air Pressure,0.08333333333333333
Air Zonk,1.5
Air-Sea Battle,0.08333333333333333
AirBlade,0.8
AirForce Delta,10.0
AirForce Delta Storm,4.0
Airport Madness 4,12.0
Airport Madness: Time Machine,9.0
Airport Simulator 2014,22.0
Airport Simulator 2015,3.5
Airscape: The Fall of Gravity,5.0
"Airwave: I Fought the Law, and the Law One",1.0
Akai Katana,0.6666666666666666
Akalabeth: World of Doom,2.5
Akane,3.5
Akane the Kunoichi,2.0
Akaneiro: Demon Hunters,3.0
Akatsuki Blitzkampf,0.25
Akiba's Beat,40.0
Akiba's Trip: Undead & Undressed,8.5
Akihabara - Feel the Rhythm,1.5
Akira,2.0
Akira Psycho Ball,1.5
Akuji the Heartless,5.0
Akumajou Dracula X68000,3.5
Al Emmo and the Lost Dutchman's Mine,6.0
Al Emmo's Postcards from Anozira,3.5
Alan Wake,11.0
Alan Wake's American Nightmare,3.5
Alan Wake: The Signal DLC,1.5
Alan Wake: The Writer DLC,1.5
Albedo: Eyes From Outer Space,4.5
Albert Odyssey: Legend of Eldean,29.5
Albert and Otto: The Adventure Begins,2.0
Albino Lullaby: Episode 1,3.0
Albion,34.5
Alcahest,5.0
Alcatraz (2010),1.5
Alcatraz: Prison Escape,3.0
Alchemia,1.0
Alchemist's Castle,2.0
Alchemy,1.0
Alchemy Mysteries: Prague Legends,2.5
Alekhine's Gun,11.0
Alex Hunter - Lord of the Mind,4.5
Alex Kidd BMX Trial,0.25
Alex Kidd in Miracle World,2.0
Alex Kidd in Shinobi World,0.75
Alex Kidd in the Enchanted Castle,1.5
Alex Kidd: High-Tech World,1.5
Alex Kidd: The Lost Stars,1.0
Alex's Scar,0.8333333333333334
Alexa's Wild Night,0.7166666666666667
Alexia Crow and the Cave of Heroes,2.0
Alfa Romeo Racing Italiano,8.0
Alfred Chicken,3.0
Ali Baba and the Forty Thieves,4.0
Alias,19.0
Alice Trapped in Wonderland,2.5
Alice in Wonderland (2010),10.0
"Alice in Wonderland (2010, DS)",9.5
Alice in Wonderland - Hidden Objects,2.0
Alice's Adventures: Hidden Object,0.8333333333333334
Alice's Mom's Rescue,2.5
Alice's Patchwork,12.5
Alice's Patchworks 2,5.0
Alice: Madness Returns,14.0
AliceMare,2.0
Alicia Griffith - Lakeside Murder,3.5
Alicia Quatermain 2: The Stone of Fate,7.0
Alicia Quatermain: Secrets Of The Lost Treasures,5.5
Alien 3,2.5
Alien 3: The Gun,0.7
Alien Breed 2: Assault,5.5
Alien Breed 3: Descent,5.0
Alien Breed: Impact,5.5
Alien Carnage,3.0
Alien Crush,2.0
Alien Crush Returns,1.5
Alien Hallway,2.0
Alien Hominid,2.5
Alien Hominid HD,5.0
Alien Incident,8.5
Alien Olympics 2044 AD,2.0
Alien Rage,6.0
Alien Rampage,5.5
Alien Resurrection,7.0
Alien Shooter,2.0
Alien Shooter 2: Conscription,2.0
Alien Shooter 2: Reloaded,5.0
Alien Shooter TD,10.0
Alien Shooter: Revisited,2.0
Alien Shooter: Vengeance,6.0
Alien Soldier,2.5
Alien Splatter Redux,2.0
Alien Storm,0.8
Alien Swarm,4.0
Alien Swarm: Reactive Drop,8.5
Alien Syndrome,2.0
Alien Syndrome (2007),9.0
Alien Trilogy,7.0
Alien Zombie Megadeath,4.0
Alien vs Predator (Jaguar),12.5
Alien vs. Predator (Arcade),1.0
Alien vs. Predator (SNES),2.0
Alien: Covenant,0.43333333333333335
Alien: Isolation,18.5
Alien: Isolation - Crew Expendable,0.5333333333333333
Alien: Isolation - Last Survivor,0.38333333333333336
Alienation,7.5
Alienators: Evolution Continues,5.5
Aliens (1990),0.6666666666666666
Aliens Versus Predator Classic 2000,6.0
Aliens Versus Predator: Extinction,12.0
Aliens versus Predator (1999),6.0
Aliens versus Predator 2,9.5
Aliens versus Predator 2: Primal Hunt,6.0
Aliens vs. Predator (2010),8.5
Aliens: Colonial Marines,7.0
Aliens: Colonial Marines - Stasis Interrupted DLC,2.5
Aliens: Infestation,6.0
Alisia Dragoon,1.5
All Is Dust,0.25
All Japan Pro Wrestling Featuring Virtua,1.5
All Kamen Rider: Rider Generation,6.5
All Kamen Rider: Rider Generation 2,2.5
All Our Asias,1.5
All That Matters,0.48333333333333334
