title,appid,categories,genres,price,developer,publisher
Bean Battles,765410.0,"Multi-player,PvP,Online PvP,Steam Achievements,Stats","Action,Indie",$0.99,Gupa Games,Gupa Games
Iratus: Lord of the Dead,807120.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Stats","Indie,RPG,Strategy",$29.99,Unfrozen,Daedalic Entertainment
Pillars of Eternity II: Deadfire,560130.0,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Remote Play on Tablet",RPG,$39.99,Obsidian Entertainment,"Versus Evil,Obsidian Entertainment"
Warhammer: Vermintide 2,552500.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie",$29.99,Fatshark,Fatshark
Dicey Dungeons,861540.0,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Indie,Strategy",$14.99,Terry Cavanagh,Terry Cavanagh
Monster Hunter: World,582010.0,"Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on Tablet",Action,$29.99,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd."
Valheim,892970.0,"Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Steam Cloud,Remote Play on Tablet","Action,Adventure,Indie,RPG,Early Access",$19.99,Iron Gate AB,Coffee Stain Publishing
Midnight Ghost Hunt,915810.0,"Multi-player,PvP,Online PvP,Steam Achievements,Partial Controller Support","Action,Indie,Early Access",$19.99,Vaulted Sky Games,Coffee Stain Publishing
DISSIDIA FINAL FANTASY NT Free Edition,921590.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Free to Play",None,"Square Enix,KOEI TECMO GAMES CO., LTD.",Square Enix
For Honor,304390.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support",Action,$14.99,"Ubisoft Montreal,Ubisoft Quebec,Ubisoft Toronto,Blue Byte",Ubisoft
Among Us,945360.0,"Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Full controller support,Remote Play on Phone,Remote Play on Tablet",Casual,$4.99,Innersloth,Innersloth
Bloons TD 6,960090.0,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Remote Play on Phone,Remote Play on Tablet",Strategy,$13.99,Ninja Kiwi,Ninja Kiwi
Tom Clancy's Rainbow Six Siege,359550.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards,In-App Purchases,Partial Controller Support,Remote Play on Phone,Remote Play on Tablet",Action,$19.99,Ubisoft Montreal,Ubisoft
Tom Clancy's Rainbow Six Siege - Test Server,623990.0,None,None,None,None,None
Dota Underlords,1046930.0,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Partial Controller Support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet","Casual,Free to Play,Strategy",None,Valve,Valve
Baldur's Gate 3,1086940.0,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Cloud","Adventure,RPG,Strategy,Early Access",$59.99,Larian Studios,Larian Studios
Cyberpunk 2077,1091500.0,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",RPG,$59.99,CD PROJEKT RED,CD PROJEKT RED
Monster Train,1102190.0,"Single-player,Multi-player,PvP,Online PvP,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet",Strategy,$24.99,Shiny Shoe,Good Shepherd Entertainment
GreedFall,606880.0,"Single-player,Steam Achievements,Full controller support,Steam Cloud",RPG,$34.99,Spiders,Focus Entertainment
Halo: The Master Chief Collection,976730.0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV",Action,$39.99,"343 Industries,Splash Damage,Ruffian Games,Bungie,Saber Interactive",Xbox Game Studios
Fallout,38400.0,"Single-player,Steam Cloud",RPG,$9.99,Interplay Inc.,Bethesda Softworks
Fallout 2,38410.0,"Single-player,Steam Cloud",RPG,$9.99,Black Isle Studios,Bethesda Softworks
Fallout Tactics,38420.0,"Single-player,Multi-player,Steam Cloud",Strategy,$9.99,14° East,Bethesda Softworks
Fallout 76,1151340.0,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,In-App Purchases,Partial Controller Support,Remote Play on Tablet",RPG,$39.99,Bethesda Game Studios,Bethesda Softworks
Destiny 2,1085660.0,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,In-App Purchases,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure,Free to Play",None,Bungie,Bungie 
Sid Meier's Civilization VI,289070.0,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Turn Notifications,Remote Play on Tablet,Remote Play Together",Strategy,$59.99,"Firaxis Games,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)"
Apex Legends,1172470.0,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play",None,Respawn Entertainment,Electronic Arts
